Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetLogLandclassSummaryFlag
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetLogTransitionMatrixFlag
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetPhase0GrowthColor
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetPhase1GrowthColor
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetPhase2GrowthColor
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetPhase3GrowthColor
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetPhase4GrowthColor
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetPhase5GrowthColor
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetPostprocessingFlag
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetPredictionStartDate
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetScenarioFilename
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetSeedColor
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetWaterColor
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetWhirlgifBinary
  0.00   1286.93     0.00        1     0.00     0.00  scen_GetWriteColorKeyFlag
  0.00   1286.93     0.00        1     0.00     0.00  scen_init
  0.00   1286.93     0.00        1     0.00     0.00  scen_read_file
  0.00   1286.93     0.00        1     0.00     0.00  stats_ConcatenateAvgFiles
  0.00   1286.93     0.00        1     0.00     0.26  stats_Init
  0.00   1286.93     0.00        1     0.00     0.00  stats_LogBaseStats
  0.00   1286.93     0.00        1     0.00     0.00  timer_Init
  0.00   1286.93     0.00        1     0.00     0.00  trans_LogTransition
  0.00   1286.93     0.00        1     0.00     0.00  wgrid_SetWGridCount

			Call graph


granularity: each sample hit covers 2 byte(s) for 0.00% of 1286.93 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.7    0.00 1283.35                 main [1]
                1.80 1274.30      32/32          drv_driver [2]
                0.00    3.37       1/1           igrid_ReadFiles [20]
                0.02    1.52       1/1           mem_Init [26]
                0.00    1.41       1/1           mem_LogPartition [27]
                0.00    0.26       1/1           stats_Init [39]
                0.00    0.24       1/1           color_Init [41]
                0.16    0.02       1/1           trans_Init [45]
                0.00    0.18       1/12          igrid_Debug [23]
                0.05    0.00       1/1           igrid_NormalizeRoads [50]
                0.01    0.00       1/1           scen_echo [58]
                0.01    0.00       1/1           stats_ConcatenateControlFiles [61]
                0.00    0.00       2/2           out_banner [65]
                0.00    0.00      12/1629        scen_CloseLog [59]
                0.00    0.00      32/194         out_write_restart_data [64]
                0.00    0.00       1/1           scen_init [70]
                0.00    0.00       1/1           trans_LogTransition [71]
                0.00    0.00       1/1345        scen_GetViewGrowthTypesFlag [69]
                0.00    0.00      65/65          scen_GetRandomSeed [164]
                0.00    0.00      48/51          coeff_GetStopRoadGravity [174]
                0.00    0.00      44/3004        scen_GetLogFlag [89]
                0.00    0.00      37/5003        proc_GetProcessingType [85]
                0.00    0.00      34/398         scen_GetOutputDir [137]
                0.00    0.00      33/33          scen_GetLogTimingsFlag [179]
