Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00   1313.49     0.00        5     0.00     0.00  coeff_GetStartSpread
  0.00   1313.49     0.00        5     0.00     0.00  scen_GetUrbanDataFileCount
  0.00   1313.49     0.00        4     0.00     0.00  coeff_GetStepDiffusion
  0.00   1313.49     0.00        4     0.00     0.00  scen_GetLanduseDataFileCount
  0.00   1313.49     0.00        4     0.00     0.00  scen_GetLanduseDataFilename
  0.00   1313.49     0.00        4     0.00     0.00  scen_GetRoadDataFilename
  0.00   1313.49     0.00        3     0.00     0.00  coeff_GetStartBreed
  0.00   1313.49     0.00        3     0.00     0.00  scen_GetRoadDataFileCount
  0.00   1313.49     0.00        2     0.00     0.00  coeff_GetStartDiffusion
  0.00   1313.49     0.00        2     0.00     0.00  out_banner
  0.00   1313.49     0.00        2     0.00     0.00  scen_GetLogMemoryMapFlag
  0.00   1313.49     0.00        2     0.00     0.00  scen_GetSlopeDataFilename
  0.00   1313.49     0.00        2     0.00     0.00  stats_CreateControlFile
  0.00   1313.49     0.00        2     0.00     0.00  stats_CreateStatsValFile
  0.00   1313.49     0.00        1     0.00     0.00  coeff_ConcatenateFiles
  0.00   1313.49     0.00        1     0.00     0.00  coeff_CreateCoeffFile
  0.00   1313.49     0.00        1     0.00     0.00  coeff_LogBestFit
  0.00   1313.49     0.00        1     0.00     0.00  coeff_LogStart
  0.00   1313.49     0.00        1     0.00     0.00  coeff_LogStep
  0.00   1313.49     0.00        1     0.00     0.00  coeff_LogStop
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetBestFitBreed
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetBestFitDiffusion
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetBestFitRoadGravity
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetBestFitSlopeResist
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetBestFitSpread
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStartBreed
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStartDiffusion
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStartRoadGravity
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStartSlopeResist
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStartSpread
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStepBreed
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStepDiffusion
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStepRoadGravity
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStepSlopeResist
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStepSpread
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStopBreed
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStopDiffusion
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStopRoadGravity
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStopSlopeResist
  0.00   1313.49     0.00        1     0.00     0.00  coeff_SetStopSpread
  0.00   1313.49     0.00        1     0.00     0.30  color_Init
  0.00   1313.49     0.00        1     0.00     0.00  color_LogIt
  0.00   1313.49     0.00        1     0.00     0.00  igrid_LogIt
  0.00   1313.49     0.00        1     0.00     3.62  igrid_ReadFiles
  0.00   1313.49     0.00        1     0.00     0.00  igrid_ValidateGrids
  0.00   1313.49     0.00        1     0.00     0.00  igrid_VerifyInputs
  0.00   1313.49     0.00        1     0.00     0.00  igrid_init
  0.00   1313.49     0.00        1     0.00     0.00  landclassSetNumClasses
  0.00   1313.49     0.00        1     0.00     0.00  landclass_Init
  0.00   1313.49     0.00        1     0.00     0.00  landclass_LogIt
  0.00   1313.49     0.00        1     0.00     0.00  mem_CheckMemory
  0.00   1313.49     0.00        1     0.00     0.00  mem_LogMinFreeWGrids
  0.00   1313.49     0.00        1     0.00     1.14  mem_LogPartition
  0.00   1313.49     0.00        1     0.00     0.00  out_center_text
  0.00   1313.49     0.00        1     0.00     0.00  pgrid_Init
  0.00   1313.49     0.00        1     0.00     0.00  proc_GetRestartFlag
  0.00   1313.49     0.00        1     0.00     0.00  proc_SetCurrentRun
  0.00   1313.49     0.00        1     0.00     0.00  proc_SetLastMonteCarlo
  0.00   1313.49     0.00        1     0.00     0.00  proc_SetNumRunsExecThisCPU
  0.00   1313.49     0.00        1     0.00     0.00  proc_SetProcessingType
  0.00   1313.49     0.00        1     0.00     0.00  proc_SetStopYear
  0.00   1313.49     0.00        1     0.00     0.00  proc_SetTotalRuns
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetBackgroundDataFilename
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffBreedBestFit
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffBreedStart
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffBreedStep
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffBreedStop
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffDiffusionBestFit
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffDiffusionStart
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffDiffusionStep
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffDiffusionStop
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffRoadGravityBestFit
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffRoadGravityStart
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffRoadGravityStep
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffRoadGravityStop
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffSlopeResistBestFit
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffSlopeResistStart
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffSlopeResistStep
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffSlopeResistStop
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffSpreadBestFit
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffSpreadStart
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffSpreadStep
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetCoeffSpreadStop
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetDateColor
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetExcludedDataFilename
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetLogBaseStatsFlag
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetLogColortablesFlag
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetLogDebugFlag
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetLogLandclassSummaryFlag
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetLogTransitionMatrixFlag
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetPhase0GrowthColor
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetPhase1GrowthColor
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetPhase2GrowthColor
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetPhase3GrowthColor
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetPhase4GrowthColor
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetPhase5GrowthColor
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetPostprocessingFlag
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetPredictionStartDate
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetScenarioFilename
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetSeedColor
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetWaterColor
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetWhirlgifBinary
  0.00   1313.49     0.00        1     0.00     0.00  scen_GetWriteColorKeyFlag
  0.00   1313.49     0.00        1     0.00     0.00  scen_echo
  0.00   1313.49     0.00        1     0.00     0.00  scen_init
  0.00   1313.49     0.00        1     0.00     0.00  scen_read_file
  0.00   1313.49     0.00        1     0.00     0.00  stats_ConcatenateAvgFiles
  0.00   1313.49     0.00        1     0.00     0.00  stats_ConcatenateControlFiles
  0.00   1313.49     0.00        1     0.00     0.38  stats_Init
  0.00   1313.49     0.00        1     0.00     0.00  stats_LogBaseStats
  0.00   1313.49     0.00        1     0.00     0.00  timer_Init
  0.00   1313.49     0.00        1     0.00     0.00  trans_LogTransition
  0.00   1313.49     0.00        1     0.00     0.00  wgrid_SetWGridCount

			Call graph


granularity: each sample hit covers 2 byte(s) for 0.00% of 1313.49 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.7    0.00 1309.63                 main [1]
                1.87 1300.76      32/32          drv_driver [2]
                0.00    3.62       1/1           igrid_ReadFiles [20]
                0.02    1.23       1/1           mem_Init [28]
                0.00    1.14       1/1           mem_LogPartition [30]
                0.00    0.38       1/1           stats_Init [38]
                0.00    0.30       1/1           color_Init [39]
                0.00    0.19       1/12          igrid_Debug [24]
                0.05    0.02       1/1           trans_Init [48]
                0.06    0.00       1/1           igrid_NormalizeRoads [49]
                0.00    0.00       1/1           trans_LogTransition [66]
                0.00    0.00      65/65          scen_GetRandomSeed [159]
                0.00    0.00      48/51          coeff_GetStopRoadGravity [168]
                0.00    0.00      44/3004        scen_GetLogFlag [81]
                0.00    0.00      37/5003        proc_GetProcessingType [77]
                0.00    0.00      34/398         scen_GetOutputDir [130]
                0.00    0.00      33/33          scen_GetLogTimingsFlag [173]
                0.00    0.00      32/32          proc_IncrementCurrentRun [178]
                0.00    0.00      32/34          coeff_GetStepRoadGravity [171]
                0.00    0.00      32/194         out_write_restart_data [136]
                0.00    0.00      32/32          InitRandom [174]
                0.00    0.00      32/96          coeff_SetCurrentDiffusion [151]
                0.00    0.00      32/96          coeff_SetCurrentBreed [150]
                0.00    0.00      32/96          coeff_SetCurrentSpread [154]
                0.00    0.00      32/96          coeff_SetCurrentSlopeResist [153]
                0.00    0.00      32/96          coeff_SetCurrentRoadGravity [152]
                0.00    0.00      32/32          proc_IncrementNumRunsExecThisCPU [179]
                0.00    0.00      29/1835        scen_GetLogFP [90]
                0.00    0.00      24/27          coeff_GetStopSlopeResist [181]
                0.00    0.00      16/17          coeff_GetStartRoadGravity [184]
                0.00    0.00      16/18          coeff_GetStepSlopeResist [183]
                0.00    0.00      12/1628        scen_Append2Log [94]
                0.00    0.00      12/1629        scen_CloseLog [93]
                0.00    0.00      12/15          coeff_GetStopSpread [185]
                0.00    0.00      10/10          scen_GetNumLanduseClasses [197]
                0.00    0.00       8/8           scen_GetLanduseClassGrayscale [207]
                0.00    0.00       8/8           landclassSetGrayscale [201]
                0.00    0.00       8/8           landclassSetName [202]
                0.00    0.00       8/8           scen_GetLanduseClassName [208]
                0.00    0.00       8/8           landclassSetType [203]
                0.00    0.00       8/8           scen_GetLanduseClassType [209]
                0.00    0.00       8/8           scen_GetLanduseClassColor [206]
                0.00    0.00       8/8           landclassSetColor [200]
                0.00    0.00       8/9           coeff_GetStartSlopeResist [198]
                0.00    0.00       8/10          coeff_GetStepSpread [196]
                0.00    0.00       6/9           coeff_GetStopBreed [199]
                0.00    0.00       4/5           coeff_GetStartSpread [216]
                0.00    0.00       4/6           coeff_GetStepBreed [212]
                0.00    0.00       3/6           coeff_GetStopDiffusion [213]
                0.00    0.00       2/2           out_banner [225]
                0.00    0.00       2/1539        scen_GetDoingLanduseFlag [95]
                0.00    0.00       2/3           coeff_GetStartBreed [222]
                0.00    0.00       2/130         scen_GetWriteAvgFileFlag [141]
                0.00    0.00       2/130         scen_GetWriteStdDevFileFlag [142]
                0.00    0.00       2/4           coeff_GetStepDiffusion [218]
                0.00    0.00       1/1           timer_Init [322]
                0.00    0.00       1/9580        timer_Start [71]
                0.00    0.00       1/1           proc_SetProcessingType [272]
                0.00    0.00       1/1           scen_init [317]
                0.00    0.00       1/1           landclassSetNumClasses [261]
                0.00    0.00       1/1           scen_GetCoeffDiffusionStart [281]
                0.00    0.00       1/1           coeff_SetStartSpread [245]
                0.00    0.00       1/1           scen_GetCoeffSpreadStart [293]
